,Unnamed: 0	,rcept_no,new_corp_code,dcm_no
368,368,20210315000267,00993931,7873730
369,369,20210331002661,00809429,7941851
370,370,20210316001195,00139719,7881169
371,371,20210318000448,00816544,7889224
372,372,20210322000868,00173591,7905638
373,373,20210326000001,00632304,7919100
374,374,20210318000809,00148993,7891129
375,375,20210318001338,00413046,7894429
376,376,20210420000262,00122551,8034925
377,377,20210319001186,00362201,7900221
378,378,20210323000717,00261957,7910493
379,379,20210319000715,00104786,7897871
380,380,20210322000956,00113535,7906132
381,381,20210419000082,00171265,8032985
382,382,20210316000768,00277736,7879427
383,383,20210323000897,00134565,7911450
384,384,20210323001141,00133876,7912827
385,385,20210317001218,00128971,7887207
386,386,20210316000923,00269852,7880056
387,387,20210322001079,01187494,7906831
388,388,20210311000326,00961507,7865937
389,389,20210323000552,00158565,7909680
390,390,20210323000681,00258421,7910298
391,391,20210318001207,00219361,7893601
392,392,20210317000965,00187415,7885751
393,393,20210311000855,00165060,7867681
394,394,20210407002964,00302078,7989093
395,395,20210218000901,00648721,7809567
396,396,20210709000075,00409681,8137982
397,397,20210316000446,00623661,7878096
398,398,20211201000368,00264714,8299832
399,399,20210330000027,00793155,7927710
400,400,20210329000724,00390408,7925781
401,401,20210604000262,00292434,8099164
402,402,20210319000955,00173999,7899023
403,403,20210611000249,01276026,8106544
404,404,20210322000255,00144012,7902532
405,405,20201130001170,01338724,7597100
406,406,20210322001027,00144164,7906528
407,407,20210323000907,00131832,7911529
408,408,20210322000672,00675594,7904489
409,409,20210318000876,00828789,7891527
410,410,20210323000499,00377018,7909398
411,411,20210322000552,00883980,7903858
412,412,20210322000566,01077577,7903947
413,413,20210315001080,00165413,7876613
414,414,20210319001159,00300548,7900070
415,415,20210319000985,00216434,7899176
416,416,20210319000735,00442455,7897949
417,417,20210616000380,00155355,8111699
418,418,20210323000423,00349811,7909055
419,419,20210325000502,00127255,7917555
420,420,20210319000929,01222867,7898895
421,421,20210316000829,00121534,7879596
422,422,20210319001163,00369170,7900115
423,423,20210319000262,00390365,7895961
424,424,20210326000871,00152686,7921753
425,425,20210517001174,00127158,8073476
426,426,20210316000330,00454946,7877672
427,427,20210315000628,00220969,7874920
428,428,20210317000060,00785475,7881774
429,429,20210318000933,00117027,7891906
430,430,20210323000355,00843900,7908809
431,431,20210330001659,00530413,7933149
432,432,20210316000210,00956028,7877340
433,433,20210324000788,01245062,7915616
434,434,20201130000858,01394377,7596342
435,435,20210322000704,00539274,7904662
436,436,20210318001184,00796994,7893443
437,437,20210318001183,00191472,7893433
438,438,20210318000260,01325979,7888489
439,439,20200629000481,01041828,7392078
440,440,20210318001249,01416235,7893835
441,441,20210322001012,00159698,7906418
442,442,20210318001301,00628189,7894210
443,443,20210720000251,01511558,8148727
444,444,20210311000742,00646732,7867256
445,445,20210316000282,00115065,7877550
446,446,20210323000713,00458234,7910445
447,447,20210218000003,00164706,7807996
448,448,20210322000649,00625942,7904318
449,449,20210315000724,00124276,7875198
450,450,20210318000961,01009789,7892072
451,451,20210315000733,00656951,7875236
452,452,20210331000615,00102113,7935270
453,453,20210326001276,00133618,7923151
454,454,20220318001096,00168331,8479605
455,455,20210318001136,00153755,7893118
456,456,20210319001280,00612294,7900843
