corp_code,corp_name,stock_code,modify_date,ss,,,new_corp_code,,,
266989,에이디모터스,38120,20170630,6,00,0,00266989,,,
260693,평안물산,37240,20170630,6,00,0,00260693,,,
267951,아큐텍,13780,20170630,6,00,0,00267951,,,
132114,선진지주,14300,20170630,6,00,0,00132114,,,
804983,히든챔피언제1호기업인수목적,123160,20170630,6,00,0,00804983,,,
502474,동북아2호선박투자회사,80030,20170630,6,00,0,00502474,,,
579379,금강제강,105070,20170630,6,00,0,00579379,,,
264857,아라온테크,41060,20170630,6,00,0,00264857,,,
375302,우리금융지주,53000,20170630,6,00,0,00375302,,,
252658,코리언일랙트로닉스파워소스,46810,20170630,6,00,0,00252658,,,
264848,대국,42340,20170630,6,00,0,00264848,,,
138376,쎄라텍,41550,20170630,6,00,0,00138376,,,
251190,글로웍스,34600,20170630,6,00,0,00251190,,,
694003,중국식품포장유한공사,900060,20170630,6,00,0,00694003,,,
505170,동북아3호선박투자회사,80960,20170630,6,00,0,00505170,,,
259439,지아이바이오,35450,20170630,6,00,0,00259439,,,
207436,알에스넷,46430,20170630,6,00,0,00207436,,,
408585,나이스메탈,72530,20170630,6,00,0,00408585,,,
111829,대웅바이오,16890,20170630,6,00,0,00111829,,,
956028,엑세스바이오,950130,20170630,6,00,0,00956028,,,
115038,하나IB증권,3330,20170630,6,00,0,00115038,,,
288653,퓨쳐비젼,42570,20170630,6,00,0,00288653,,,
303837,이레전자산업,45310,20170630,6,00,0,00303837,,,
330017,레이더스컴퍼니,47420,20170630,6,00,0,00330017,,,
264769,포이보스,38810,20170630,6,00,0,00264769,,,
308948,미디어코프,53890,20170630,6,00,0,00308948,,,
321222,케이디세코,73780,20170630,6,00,0,00321222,,,
361202,이노블루,66200,20170630,6,00,0,00361202,,,
450728,도움,78610,20170630,6,00,0,00450728,,,
535773,엑스씨이,81500,20170630,6,00,0,00535773,,,
152950,코오롱유화,11020,20170630,6,00,0,00152950,,,
296069,세라온홀딩스,50600,20170630,6,00,0,00296069,,,
521956,현대경매부동산일호투자회사,83160,20170630,6,00,0,00521956,,,
360540,우수씨엔에스,60550,20170630,6,00,0,00360540,,,
593519,동북아31호선박투자회사,93730,20170630,6,00,0,00593519,,,
194372,후야인포넷,32050,20170630,6,00,0,00194372,,,
154693,이레아이엔씨,36900,20170630,6,00,0,00154693,,,
106650,카스코,5330,20170630,6,00,0,00106650,,,
368791,모델라인,64720,20170630,6,00,0,00368791,,,
220552,청람디지탈,35270,20170630,6,00,0,00220552,,,
